title,description,author,date,link
From competition to collaboration: How PayPal turned challengers like Visa and Mastercard into partners and started sharing data to drive even more business,"PayPal inked strategic partnerships over the past three years with more than 40 companies it previously would have considered competitors. Jim Magats, PayPal's senior vice president of payments, product and engineering, told Business Insider the move was mean…",Dan DeFrancesco,2019-09-03T17:47:23Z,https://www.businessinsider.com/paypals-visa-mastercard-partners-ebay-partners-payments-2019-8
Trial of actor Cuba Gooding Jr in groping case gets October date,"Judge Herbert Moses of the Manhattan Supreme Court set an Oct. 10 trial date on Tuesday for the actor Cuba Gooding Jr., who was charged with groping a woman at a Manhattan bar in June.",Brendan Pierson,2019-09-03T15:36:28Z,https://ca.reuters.com/article/entertainmentNews/idCAKCN1VO1X7-OCAEN
Interpreting the Interpreter: Who Was Lafcadio Hearn?,"Through the memories of three women, Monique Truong’s novel “The Sweetest Fruits” paints a portrait of the first Westerner to write about a newly opened Japan.",Priya Parmar,2019-09-03T09:00:06Z,https://www.nytimes.com/2019/09/03/books/review/the-sweetest-fruits-monique-truong.html
India's Chandrayaan-2 ready for moon landing,Indian space agency says $140m module has reached distance of 100km from moon's surface and is set to land on Saturday.,Al Jazeera,2019-09-03T01:46:36Z,https://www.aljazeera.com/news/2019/09/india-chandrayaan-2-ready-moon-landing-190903012517283.html
Woman survives 80-foot cliff fall in South Dakota state park,Authorities say a Minnesota woman has escaped with minor injuries after falling more than 80 feet from a cliff at a state park in South Dakota,The Associated Press,2019-09-03T15:56:26Z,https://abcnews.go.com/US/wireStory/woman-survives-80-foot-cliff-fall-south-dakota-65359756
Philadelphia district attorney exonerates 9 people in 19 months,"Larry Krasner says, ""When somebody sits in a jail cell for a crime they did not commit, that is an injustice""",CBS News,2019-09-03T13:29:40Z,https://www.cbsnews.com/news/philadelphia-district-attorney-larry-krasner-exonerates-nine-people-in-19-months/
Keith Hill: New Bolton Wanderers boss won't 'mentally ruin' young players,"New Bolton boss Keith Hill says he will protect the ""special group"" of young players that helped ensure the club's survival.",,2019-09-03T15:07:38Z,https://www.bbc.co.uk/sport/football/49564550
Trump said he skipped a diplomatic trip to monitor Hurricane Dorian. Then he spent the weekend golfing.,"President Donald Trump told reporters last week that he was canceling a highly anticipated diplomatic trip to Poland so he could monitor Hurricane Dorian from Camp David. Trump spent hours playing golf at the Trump National Golf Club in Sterling, Virginia thr…",Sonam Sheth,2019-09-03T15:31:09Z,https://www.businessinsider.com/trump-skipped-poland-trip-hurricane-dorian-golfed-all-weekend-2019-9
9/3: CBSN AM,Deadly storm nears Florida coast; Protests continue in Hong Kong,CBS News,2019-09-03T16:15:31Z,https://www.cbsnews.com/video/93-cbsn-am/
"Illinois joins lawsuit to ask court to stop merger of T-Mobile, Sprint","Illinois has joined a multistate lawsuit aimed at stopping the merger of U.S. wireless carriers T-Mobile US Inc and Sprint Corp, the New York attorney general's office, which is leading the effort along with California, said Tuesday.",Reuters Editorial,2019-09-03T17:04:14Z,https://www.reuters.com/article/sprint-ma-tmobile-illinois-idUSL2N25U102
Hurricane Dorian has weakened to a Category 2 storm with maximum sustained winds near 110 mph (175 kph).,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",The Associated Press,2019-09-03T14:57:39Z,https://abcnews.go.com/Technology/wireStory/hurricane-dorian-weakened-category-storm-maximum-sustained-winds-65358036
Trump says a deal with China will be 'MUCH TOUGHER' if he gets re-elected in 2020,President Donald Trump suggested on Tuesday that a more than yearlong trade dispute with China could potentially last until 2020. He said that any agreement to defuse tensions would be 'tougher' if he were to win re-election. Any other candidate would allow t…,Gina Heeb,2019-09-03T14:40:39Z,https://www.businessinsider.com/trump-china-trade-war-deal-tougher-if-reelected-in-2020-2019-9
"Odessa gunman ""was on a long spiral of going down"" before shooting, officials say","The gunman who went on a shooting rampage in West Texas called police before and during the massacre. Authorities say the attack happened after the gunman had been fired from his job, and that he ""was on a long spiral of going down"" before the shooting. Mirey…",CBS News,2019-09-03T11:59:30Z,https://www.cbsnews.com/video/odessa-gunman-was-on-a-long-spiral-of-going-down-before-shooting-officials-say/
Israel sends firefighters to help Brazil battle Amazon fires,Israel says it will be dispatching a team of firefighters to assist Brazil with combatting the fires that have consumed large swaths of the country's rainforest,The Associated Press,2019-09-03T14:48:11Z,https://abcnews.go.com/International/wireStory/israel-sends-firefighters-brazil-battle-amazon-fires-65357792
