title,description,author,date,link
Clothing Labels List Sweatshop Atrocities So Buyers Will Shop More Consciously,,Eleanor Goldberg,03/29/15,https://www.huffpost.com/entry/cambodia-sweatshop-condit_n_6956244
Zooey Deschanel Pushes Back Against Unrealistic Expectations For Moms,"When it comes to postpartum body image, the 'New Girl' star refuses to accept society's impossible standards.",Caroline Bologna,04/14/16,https://www.huffpost.com/entry/zooey-deschanel-pushes-back-against-unrealistic-expectations-for-moms_n_9692860
Radio Station Contest Lets Winner Have Sex With 3 Porn Stars,,David Moye,01/15/15,https://www.huffpost.com/entry/httppubxch1e59kou_n_6481672
Craig Gillespie Worked Hard to Make Sure That CG Waves Didn't Swamp <em>The Finest Hours</em>'s Real-life Story,"Looking back on the production of <em>The Finest Hours</em> (which was just released on Blu-ray & DVD yesterday), Gillespie was especially proud of the way this film's cast and crew worked together to make some of this movie's more complex shots possible.",Jim Hill,05/25/16,https://www.huffpost.com/entry/craig-gillespie-worked-ha_b_10124412
Life Inside a Hummingbird Nest,,Alexis Coram,09/22/15,https://www.huffpost.com/entry/watch-hummingbird-life-un_b_8040996
Why The Worst War Reporter In A Generation Had To Suddenly Stop,"I was, briefly, a ""war reporter"" too, albeit maybe the worst in a generation. My career was as thrilling as it was accidental.",Fatherly ,09/29/15,https://www.huffpost.com/entry/the-worst-war-reporter-in-a-generation-_b_8215024
Changing the Color of Black Friday,"The dark -- or shall we say ""black"" -- side of this annual event is the wear and tear on the frontline, often part timers brought in to accommodate the mob. The shopping experience can be equally chaotic, taxing and unfair for customers.  Many witness the worst side of consumers who seem to check their manners at the mall entrance.  How can we change the color of Black Friday?",Chip R. Bell,11/09/15,https://www.huffpost.com/entry/changing-the-color-of-black-friday_b_8509644
Florida Man Brings Neighbor's Dead Body To Lawyer's Office,,Sebastian Murdock,03/06/15,https://www.huffpost.com/entry/florida-man-body-to-lawyer_n_6815454
Clinton Reassured Moderates But Didn't Inspire The Base,"While the debate certainly gave Obama coalition voters ample reason to be against Trump, I'm not sure it gave them enough reason to be for Clinton with enough enthusiasm to drive the level of turnout necessary to ensure victory.",Miles Mogulescu,09/28/16,https://www.huffpost.com/entry/clinton-reassured-moderat_b_12233424
US Losing Its Dominance in Global Higher Education Market,"The media frequently reports on the number of international students studying in the United States. And that is exactly how we tend to think about it - students from other countries coming to the US. Yet, a growing number of US students are now looking overseas for their college degree.",The Conversation US,10/14/15,https://www.huffpost.com/entry/us-losing-its-dominance-i_b_8294548
